,A,B,C,D,E
0,0.35137156,0.86506236,0.62422293,1.9415474,0.78211814
1,-0.38252077,-0.16928291,-0.16887866,-0.22791845,0.7358876
2,-0.14355686,0.5130981,0.3924224,0.3769137,0.8761383
3,0.25441334,0.09796418,0.1141125,0.0455572,-1.1624824
4,-0.14494632,0.54572743,-0.22435018,-0.6879874,1.6901563
5,-0.1330071,0.4579766,0.55452424,0.94423044,0.6157403
6,0.016743282,0.23125848,0.19259399,-1.1934748,-0.106570534
7,0.3610066,0.53776205,0.45498192,-0.7862335,-0.9980241
8,0.31035617,-0.3951396,-0.554675,1.3640021,-0.5307438
9,-0.32703674,-0.13453193,-0.05622834,-1.0091835,0.07746786
10,-0.22421046,-0.039395485,0.0019154809,-1.1563575,0.23810925
11,-0.28294986,-0.094078645,0.040484928,-0.81173664,-0.4678744
12,-0.374191,-0.19628762,-0.12173141,-0.9942792,0.2510303
13,-0.49216816,-0.3132827,-0.17663738,-0.6748026,-0.27421492
14,-0.049923554,0.16046636,0.113951355,-1.2305864,0.09395199
15,-0.5694415,-0.47221836,-0.3897015,-0.35399368,-0.057677373
16,-0.19988352,0.33082962,-0.17005703,-0.6514661,1.412752
17,-0.18555292,0.29183203,-0.23332351,-0.98503727,1.3388276
18,-0.16814722,0.40432686,0.49366188,0.7285374,0.64433694
19,-0.21843147,0.31213376,0.25082907,0.2805703,0.8261962
20,0.11909291,-0.3946295,-0.64073986,0.95888054,-0.78193146
21,0.4266018,-0.277945,-0.25603664,1.6031728,-0.1527636
22,0.43016073,-0.21821219,-0.18023145,1.6372931,-0.09947154
23,-0.13252881,0.5221756,0.51980764,0.6672677,0.7404295
24,0.2515541,-0.40815303,-0.5963934,1.2410265,-0.61555773
25,-0.17429477,0.3242824,0.4559311,0.7531279,0.58112645
26,-0.46774852,-0.41571778,-0.39596698,-0.12761562,-0.44830465
27,0.37450117,0.21136571,0.1660775,0.049908325,-1.173079
28,-0.0873891,0.71352977,0.24347872,0.12613207,1.2421557
29,-0.046099648,0.1585664,0.17058459,-1.1571298,-0.10545094
30,0.051681466,0.26905233,0.22423106,-1.185577,-0.17613553
31,-0.4550446,-0.2604531,-0.14731531,-0.7973989,-0.11108708
32,0.53556037,0.5900858,0.42188874,-0.4291391,-1.1642901
33,0.29086098,-0.3820099,-0.49869648,1.3661693,-0.46575192
34,0.52086926,0.6614558,0.4719078,-0.6451768,-1.1439537
35,-0.58500975,-0.45831245,-0.3588583,-0.4711027,-0.10587268
36,-0.30088422,-0.1163311,-0.0708931,-1.1199902,0.43429413
37,-0.31248137,0.040712386,-0.14155027,-0.58141124,0.9984004
38,-0.23443103,-0.022347849,-0.087555856,-1.2016317,0.5372777
39,0.24004655,0.7286323,0.58800226,1.6913934,0.70625347
40,-0.18576804,0.18050477,0.36647543,0.7325171,0.48579243
41,-0.45572114,-0.45559248,-0.44875282,-0.014150362,-0.2938613
42,0.5049875,0.5708261,0.4278502,-0.4642445,-1.1463331
43,0.4070528,0.07768516,0.09010339,1.7205689,0.1402736
44,-0.16391623,-0.37230667,-0.5431874,0.45225647,-0.8442607
45,-0.39586696,-0.19843738,-0.09271856,-0.88245904,-0.0830718
46,-0.24701722,-0.40039167,-0.51040614,0.37001166,-0.6936138
47,-0.24079588,0.22851788,0.19309714,0.2701639,0.7920553
48,-0.58555317,-0.4600281,-0.361386,-0.4645094,-0.09935568
49,0.41365448,0.5708665,0.46730393,-0.7070929,-1.0679529
50,-0.47848952,-0.3652797,-0.23944671,-0.261944,0.49350762
51,-0.26248792,-0.08279747,-0.04536718,-1.1671484,0.3783293
52,-0.3748075,-0.4056603,-0.44164142,0.09808535,-0.5836237
53,-0.5235906,-0.3633952,-0.25786778,-0.7280743,0.06510526
54,0.10551318,-6.185472e-05,0.040366143,0.0031279195,-1.1177086
55,-0.14661004,0.507325,-0.24917534,-0.74749404,1.675566
56,0.07059179,0.32723463,0.39826724,1.3018223,0.44754335
57,-0.175071,0.3206626,0.45202765,0.74635106,0.58076125
58,-0.35556138,-0.15495698,-0.031677224,-0.89917266,-0.19054914
59,-0.46232104,-0.28600788,-0.18410534,-0.8268844,0.40893868
60,-0.25304452,0.17925231,-0.16088617,-0.8597233,1.2022792
61,0.12348679,-0.40646976,-0.5742391,1.0423739,-0.6591896
62,-0.46144655,-0.27370867,-0.13492158,-0.72970504,-0.27050596
63,-0.5032804,-0.47452706,-0.38672945,-0.084843725,0.051942796
64,-0.5442097,-0.39370647,-0.2922709,-0.48288685,-0.31745565
65,-0.33764577,-0.035534095,-0.15311027,-0.42539737,0.90770155
66,0.5649082,0.60465544,0.41676074,-0.39365944,-1.1815426
67,-0.30027014,0.068880424,-0.13589546,-0.5351404,1.0325544
68,-0.13673577,0.065583244,0.15879312,-1.0625411,-0.22816658
69,-0.18786786,-0.19053169,0.07673392,0.65496916,0.26501197
70,-0.5442107,-0.39386997,-0.29106426,-0.4851607,-0.3148006
71,-0.5685635,-0.43999076,-0.32725522,-0.5547329,0.106912605
72,-0.21773003,-0.08228728,0.16071638,0.6168395,0.36341187
73,-0.19571748,-0.19267064,-0.13544095,-0.15466288,-0.92340326
74,-0.5078329,-0.47397542,-0.3691212,-0.100898914,0.11923367
75,-0.19173943,0.3786563,-0.007050127,-0.30483443,1.2336723
76,-0.53320235,-0.38051146,-0.27489626,-0.71879065,0.10587494
77,0.27845088,-0.40787444,-0.58767325,1.2901611,-0.5888832
78,-0.2832475,-0.07902554,0.004716456,-1.045743,0.017093368
79,-0.100673415,0.60494184,0.63230664,1.051097,0.71963155
80,-0.31302744,-0.29329363,-0.27974692,-0.10020199,-0.7978313
81,0.4669362,0.49981934,0.40447018,-0.3824406,-1.1292992
82,-0.1615484,0.49000853,-0.12059793,-0.5014784,1.4921649
83,-0.11645944,0.6418733,0.6529227,1.0024109,0.75448084
84,-0.11738424,-0.3903564,-0.5753426,0.5825908,-0.78838575
85,-0.3734336,-0.12583353,-0.1749959,-0.45244795,0.8064528
86,-0.3302035,-0.41714758,-0.47855678,0.22655168,-0.57011414
87,-0.15520905,0.14151683,0.3361936,0.80760926,0.43261126
88,-0.45381743,-0.42346457,-0.25140128,0.03918788,0.31272125
89,-0.5507302,-0.40217754,-0.29295617,-0.6617305,0.030629277
90,-0.24302156,0.16302265,0.19780183,0.35631555,0.69785845
91,0.20622824,-0.4064279,-0.61605847,1.1496942,-0.67292285
92,-0.33539596,-0.39986423,-0.45757023,0.18338582,-0.64064866
93,-0.11804442,0.08292079,0.0494963,-1.2399974,0.23616177
94,-0.26736295,0.15277015,-0.11857947,-0.58463526,1.1288218
95,0.11615549,-0.042555846,0.11969808,1.3031096,0.15006453
96,-0.18601385,0.41023535,-0.09793733,-0.46625862,1.3887645
97,-0.16239758,0.48475236,0.2590487,0.17761022,1.0018109
98,-0.0859631,0.82978445,0.6634243,0.87877166,0.94177985
99,-0.39921832,-0.21292788,-0.12489957,-0.91227657,0.058510125
100,0.07792585,0.16528133,0.27951327,-0.5536281,-0.93102944
101,-0.34811547,-0.055785675,-0.1610361,-0.50549036,0.8874027
102,0.46951994,0.7191036,0.51417416,-0.96042174,-1.0316488
103,-0.080549225,0.74142647,0.42842284,0.41034362,1.0565795
104,-0.5733795,-0.44166154,-0.33087048,-0.57655054,0.0437326
105,-0.020205468,0.21089001,0.05366128,-1.3032303,0.25695288
106,-0.13146196,-0.15964116,-0.107555486,-0.07538015,-0.99391806
107,-0.5271943,-0.46426827,-0.41431195,-0.19815257,-0.16423517
108,0.2834078,-0.39963147,-0.5570175,1.320084,-0.5450314
109,0.24415837,-0.40457043,-0.6531812,1.1789329,-0.71412575
110,0.3073444,0.38848385,0.39869264,-0.5227084,-1.0293094
111,0.06226193,0.2722314,0.27225015,-1.1232755,-0.33476263
112,0.33640805,0.5786295,0.47169363,-1.0749266,-0.8009801
113,-0.27926612,0.098599076,0.05842255,0.10266841,0.80126435
114,-0.108752415,-0.24446103,0.017850354,0.8088397,0.13078657
115,-0.46040857,-0.3484121,-0.22247772,-0.15992537,0.51512265
116,-0.019628465,-0.40144533,-0.5918215,0.791905,-0.7126179
117,0.40395275,0.36076698,0.32886246,-0.2171543,-1.1226023
118,-0.16347653,0.038524628,-0.021630831,-1.2550693,0.37926385
119,-0.500668,-0.3263052,-0.21666801,-0.7226012,-0.0787164
120,-0.23921245,-0.31238136,-0.3679358,0.15415831,-0.86673486
121,-0.4056088,-0.42564046,-0.44796205,0.057080247,-0.4730031
122,-0.042674243,-0.19654594,0.057122253,0.95814574,0.10758964
123,0.21002601,-0.40624255,-0.6216678,1.1512687,-0.67985666
124,-0.3197809,-0.24172732,-0.1562351,-0.36675963,-0.7280096
125,-0.29651305,-0.21507668,0.00057034194,0.3892052,0.42400122
126,-0.5142644,-0.35565683,-0.24052805,-0.53629005,-0.38873404
127,-0.2004903,0.06772947,0.2795605,0.6379682,0.43482214
128,0.42087695,0.6677992,0.49924493,-1.001294,-0.9501658
129,-0.16232371,0.49631017,-0.16921854,-0.58959335,1.5686365
130,-0.19339758,-0.11647795,0.13964212,0.6611561,0.31117332
131,-0.15568103,-0.20283884,-0.21024612,0.033126898,-1.0006481
132,-0.3399981,-0.41848278,-0.47507158,0.20502599,-0.5568801
133,-0.24828686,-0.03257018,0.07238702,-1.0352242,-0.12645358
134,-0.54496384,-0.38627362,-0.26271334,-0.57594645,-0.22096242
135,0.16075185,-0.15318291,0.018032156,1.3318043,0.04685112
136,-0.17523776,0.09560436,0.30660996,0.74949855,0.41880608
137,-0.11885771,0.6539809,-0.19557643,-0.61557955,1.7503909
138,0.21205437,0.44894385,0.32458898,-1.2007282,-0.34915584
139,-0.21462932,0.3394399,0.14330763,0.05368136,0.98846793
140,-0.078425296,-0.30813104,-0.07962148,0.8733448,0.03705813
141,0.34197354,0.13217905,0.16126844,1.6560762,0.20445964
142,-0.17412105,0.44244152,-0.074233115,-0.42210814,1.3845693
143,0.13298364,-0.4001129,-0.6136504,1.0148886,-0.7271935
144,-0.1077723,-0.14542417,-0.09367218,-0.054337606,-1.015637
145,-0.15077437,-0.018311467,0.21792537,0.776421,0.32496887
146,-0.18209484,0.3849445,-0.20483232,-0.7122481,1.5147662
147,-0.4537641,-0.38038123,-0.3503477,-0.18221198,-0.5341941
148,-0.30934215,-0.2850765,-0.26440808,-0.11964789,-0.803604
149,0.0051216893,0.21926263,0.17915177,-1.19863,-0.07442002
150,0.33498332,-0.35585836,-0.42989278,1.4590575,-0.36361498
151,0.5727252,0.43716347,0.23102832,0.004766183,-1.2782832
152,-0.20245613,0.3741811,0.18653515,0.111057006,0.97354794
153,0.11746453,-0.15800394,0.0319765,1.2750744,0.059271045
154,-0.48305044,-0.41763842,-0.38805795,-0.16592427,-0.4230841
155,-0.46030077,-0.26832598,-0.15722615,-0.79254496,-0.09546981
156,0.041485474,0.27125555,0.13350019,-1.282206,0.09912963
157,0.1365729,0.36691952,0.2573306,-1.2165539,-0.20328912
158,0.1562091,-0.40023148,-0.62788546,1.0433873,-0.7347118
159,-0.5048583,-0.4179605,-0.3730841,-0.22881493,-0.39216608
160,-0.2114494,0.32808208,-0.068866245,-0.41091397,1.2719301
161,-0.0027637258,0.21204484,0.16184804,-1.2134386,-0.025377661
162,-0.24865985,0.03709232,-0.124997616,-1.1018502,0.7872964
163,-0.16357894,0.039312117,0.12872976,-1.0815513,-0.1498212
164,-0.35205114,-0.24982145,-0.14796132,-0.45095783,-0.6424463
165,0.077586904,0.08799976,0.2277379,1.2735085,0.2628207
166,-0.56067437,-0.41444996,-0.3122705,-0.47403857,-0.2537644
167,-0.17783135,-0.22810262,0.03709414,0.668552,0.23213696
168,0.33936659,0.24721979,0.2494013,1.6908023,0.29260924
